holiday,date
رأس السنة الميلادية,2023-01-01
عيد الثورة والشباب,2023-01-14
عيد الإستقلال,2023-03-20
عيد العمال,2023-05-01
عيد الجمهورية,2023-07-25
عيد المرأة,2023-08-13
عيد الجلاء,2023-10-15
(تقدير) عيد الفطر,2023-04-21
(تقدير) رَمَضَان,2023-04-20
(تقدير) رَمَضَان,2023-04-19
(تقدير) رَمَضَان,2023-04-18
(تقدير) رَمَضَان,2023-04-17
(تقدير) رَمَضَان,2023-04-16
(تقدير) رَمَضَان,2023-04-15
(تقدير) رَمَضَان,2023-04-14
(تقدير) رَمَضَان,2023-04-13
(تقدير) رَمَضَان,2023-04-12
(تقدير) رَمَضَان,2023-04-11
(تقدير) رَمَضَان,2023-04-10
عيد الشهداء | (تقدير) رَمَضَان,2023-04-09
(تقدير) رَمَضَان,2023-04-08
(تقدير) رَمَضَان,2023-04-07
(تقدير) رَمَضَان,2023-04-06
(تقدير) رَمَضَان,2023-04-05
(تقدير) رَمَضَان,2023-04-04
(تقدير) رَمَضَان,2023-04-03
(تقدير) رَمَضَان,2023-04-02
(تقدير) رَمَضَان,2023-04-01
(تقدير) رَمَضَان,2023-03-31
(تقدير) رَمَضَان,2023-03-30
(تقدير) رَمَضَان,2023-03-29
(تقدير) رَمَضَان,2023-03-28
(تقدير) رَمَضَان,2023-03-27
(تقدير) رَمَضَان,2023-03-26
(تقدير) رَمَضَان,2023-03-25
(تقدير) رَمَضَان,2023-03-24
(تقدير) رَمَضَان,2023-03-23
(تقدير) رَمَضَان,2023-03-22
(تقدير) عطلة عيد الفطر,2023-04-22
(تقدير) عطلة عيد الفطر,2023-04-23
(تقدير) يوم عرفة,2023-06-27
(تقدير) عيد الأضحى,2023-06-28
(تقدير) عطلة عيد الأضحى,2023-06-29
(تقدير) عطلة عيد الأضحى,2023-06-30
(تقدير) رأس السنة الهجرية,2023-07-19
(تقدير) عيد المولد النبوي,2023-09-27
رأس السنة الميلادية,2024-01-01
عيد الثورة والشباب,2024-01-14
عيد العمال,2024-05-01
عيد الجمهورية,2024-07-25
عيد المرأة,2024-08-13
عيد الجلاء,2024-10-15
(تقدير) عيد الفطر,2024-04-10
عيد الشهداء | (تقدير) رَمَضَان,2024-04-09
(تقدير) رَمَضَان,2024-04-08
(تقدير) رَمَضَان,2024-04-07
(تقدير) رَمَضَان,2024-04-06
(تقدير) رَمَضَان,2024-04-05
(تقدير) رَمَضَان,2024-04-04
(تقدير) رَمَضَان,2024-04-03
(تقدير) رَمَضَان,2024-04-02
(تقدير) رَمَضَان,2024-04-01
(تقدير) رَمَضَان,2024-03-31
(تقدير) رَمَضَان,2024-03-30
(تقدير) رَمَضَان,2024-03-29
(تقدير) رَمَضَان,2024-03-28
(تقدير) رَمَضَان,2024-03-27
(تقدير) رَمَضَان,2024-03-26
(تقدير) رَمَضَان,2024-03-25
(تقدير) رَمَضَان,2024-03-24
(تقدير) رَمَضَان,2024-03-23
(تقدير) رَمَضَان,2024-03-22
(تقدير) رَمَضَان,2024-03-21
عيد الإستقلال | (تقدير) رَمَضَان,2024-03-20
(تقدير) رَمَضَان,2024-03-19
(تقدير) رَمَضَان,2024-03-18
(تقدير) رَمَضَان,2024-03-17
(تقدير) رَمَضَان,2024-03-16
(تقدير) رَمَضَان,2024-03-15
(تقدير) رَمَضَان,2024-03-14
(تقدير) رَمَضَان,2024-03-13
(تقدير) رَمَضَان,2024-03-12
(تقدير) رَمَضَان,2024-03-11
(تقدير) عطلة عيد الفطر,2024-04-11
(تقدير) عطلة عيد الفطر,2024-04-12
(تقدير) يوم عرفة,2024-06-15
(تقدير) عيد الأضحى,2024-06-16
(تقدير) عطلة عيد الأضحى,2024-06-17
(تقدير) عطلة عيد الأضحى,2024-06-18
(تقدير) رأس السنة الهجرية,2024-07-07
(تقدير) عيد المولد النبوي,2024-09-15
رأس السنة الميلادية,2025-01-01
عيد الثورة والشباب,2025-01-14
عيد الشهداء,2025-04-09
عيد العمال,2025-05-01
عيد الجمهورية,2025-07-25
عيد المرأة,2025-08-13
عيد الجلاء,2025-10-15
(تقدير) عيد الفطر,2025-03-30
(تقدير) رَمَضَان,2025-03-29
(تقدير) رَمَضَان,2025-03-28
(تقدير) رَمَضَان,2025-03-27
(تقدير) رَمَضَان,2025-03-26
(تقدير) رَمَضَان,2025-03-25
(تقدير) رَمَضَان,2025-03-24
(تقدير) رَمَضَان,2025-03-23
(تقدير) رَمَضَان,2025-03-22
(تقدير) رَمَضَان,2025-03-21
عيد الإستقلال | (تقدير) رَمَضَان,2025-03-20
(تقدير) رَمَضَان,2025-03-19
(تقدير) رَمَضَان,2025-03-18
(تقدير) رَمَضَان,2025-03-17
(تقدير) رَمَضَان,2025-03-16
(تقدير) رَمَضَان,2025-03-15
(تقدير) رَمَضَان,2025-03-14
(تقدير) رَمَضَان,2025-03-13
(تقدير) رَمَضَان,2025-03-12
(تقدير) رَمَضَان,2025-03-11
(تقدير) رَمَضَان,2025-03-10
(تقدير) رَمَضَان,2025-03-09
(تقدير) رَمَضَان,2025-03-08
(تقدير) رَمَضَان,2025-03-07
(تقدير) رَمَضَان,2025-03-06
(تقدير) رَمَضَان,2025-03-05
(تقدير) رَمَضَان,2025-03-04
(تقدير) رَمَضَان,2025-03-03
(تقدير) رَمَضَان,2025-03-02
(تقدير) رَمَضَان,2025-03-01
(تقدير) رَمَضَان,2025-02-28
(تقدير) عطلة عيد الفطر,2025-03-31
(تقدير) عطلة عيد الفطر,2025-04-01
(تقدير) يوم عرفة,2025-06-05
(تقدير) عيد الأضحى,2025-06-06
(تقدير) عطلة عيد الأضحى,2025-06-07
(تقدير) عطلة عيد الأضحى,2025-06-08
(تقدير) رأس السنة الهجرية,2025-06-26
(تقدير) عيد المولد النبوي,2025-09-04
رأس السنة الميلادية,2026-01-01
عيد الثورة والشباب,2026-01-14
(تقدير) عيد الفطر; عيد الإستقلال,2026-03-20
(تقدير) رَمَضَان,2026-03-19
(تقدير) رَمَضَان,2026-03-18
(تقدير) رَمَضَان,2026-03-17
(تقدير) رَمَضَان,2026-03-16
(تقدير) رَمَضَان,2026-03-15
(تقدير) رَمَضَان,2026-03-14
(تقدير) رَمَضَان,2026-03-13
(تقدير) رَمَضَان,2026-03-12
(تقدير) رَمَضَان,2026-03-11
(تقدير) رَمَضَان,2026-03-10
(تقدير) رَمَضَان,2026-03-09
(تقدير) رَمَضَان,2026-03-08
(تقدير) رَمَضَان,2026-03-07
(تقدير) رَمَضَان,2026-03-06
(تقدير) رَمَضَان,2026-03-05
(تقدير) رَمَضَان,2026-03-04
(تقدير) رَمَضَان,2026-03-03
(تقدير) رَمَضَان,2026-03-02
(تقدير) رَمَضَان,2026-03-01
(تقدير) رَمَضَان,2026-02-28
(تقدير) رَمَضَان,2026-02-27
(تقدير) رَمَضَان,2026-02-26
(تقدير) رَمَضَان,2026-02-25
(تقدير) رَمَضَان,2026-02-24
(تقدير) رَمَضَان,2026-02-23
(تقدير) رَمَضَان,2026-02-22
(تقدير) رَمَضَان,2026-02-21
(تقدير) رَمَضَان,2026-02-20
(تقدير) رَمَضَان,2026-02-19
(تقدير) رَمَضَان,2026-02-18
عيد الشهداء,2026-04-09
عيد العمال,2026-05-01
عيد الجمهورية,2026-07-25
عيد المرأة,2026-08-13
عيد الجلاء,2026-10-15
(تقدير) عطلة عيد الفطر,2026-03-21
(تقدير) عطلة عيد الفطر,2026-03-22
(تقدير) يوم عرفة,2026-05-26
(تقدير) عيد الأضحى,2026-05-27
(تقدير) عطلة عيد الأضحى,2026-05-28
(تقدير) عطلة عيد الأضحى,2026-05-29
(تقدير) رأس السنة الهجرية,2026-06-16
(تقدير) عيد المولد النبوي,2026-08-25
رأس السنة الميلادية,2027-01-01
عيد الثورة والشباب,2027-01-14
عيد الإستقلال,2027-03-20
عيد الشهداء,2027-04-09
عيد العمال,2027-05-01
عيد الجمهورية,2027-07-25
عيد المرأة,2027-08-13
عيد الجلاء,2027-10-15
(تقدير) عيد الفطر,2027-03-09
(تقدير) رَمَضَان,2027-03-08
(تقدير) رَمَضَان,2027-03-07
(تقدير) رَمَضَان,2027-03-06
(تقدير) رَمَضَان,2027-03-05
(تقدير) رَمَضَان,2027-03-04
(تقدير) رَمَضَان,2027-03-03
(تقدير) رَمَضَان,2027-03-02
(تقدير) رَمَضَان,2027-03-01
(تقدير) رَمَضَان,2027-02-28
(تقدير) رَمَضَان,2027-02-27
(تقدير) رَمَضَان,2027-02-26
(تقدير) رَمَضَان,2027-02-25
(تقدير) رَمَضَان,2027-02-24
(تقدير) رَمَضَان,2027-02-23
(تقدير) رَمَضَان,2027-02-22
(تقدير) رَمَضَان,2027-02-21
(تقدير) رَمَضَان,2027-02-20
(تقدير) رَمَضَان,2027-02-19
(تقدير) رَمَضَان,2027-02-18
(تقدير) رَمَضَان,2027-02-17
(تقدير) رَمَضَان,2027-02-16
(تقدير) رَمَضَان,2027-02-15
(تقدير) رَمَضَان,2027-02-14
(تقدير) رَمَضَان,2027-02-13
(تقدير) رَمَضَان,2027-02-12
(تقدير) رَمَضَان,2027-02-11
(تقدير) رَمَضَان,2027-02-10
(تقدير) رَمَضَان,2027-02-09
(تقدير) رَمَضَان,2027-02-08
(تقدير) رَمَضَان,2027-02-07
(تقدير) عطلة عيد الفطر,2027-03-10
(تقدير) عطلة عيد الفطر,2027-03-11
(تقدير) يوم عرفة,2027-05-15
(تقدير) عيد الأضحى,2027-05-16
(تقدير) عطلة عيد الأضحى,2027-05-17
(تقدير) عطلة عيد الأضحى,2027-05-18
(تقدير) رأس السنة الهجرية,2027-06-06
(تقدير) عيد المولد النبوي,2027-08-14
رأس السنة الميلادية,2028-01-01
عيد الثورة والشباب,2028-01-14
عيد الإستقلال,2028-03-20
عيد الشهداء,2028-04-09
عيد العمال,2028-05-01
عيد الجمهورية,2028-07-25
عيد المرأة,2028-08-13
عيد الجلاء,2028-10-15
(تقدير) عيد الفطر,2028-02-26
(تقدير) رَمَضَان,2028-02-25
(تقدير) رَمَضَان,2028-02-24
(تقدير) رَمَضَان,2028-02-23
(تقدير) رَمَضَان,2028-02-22
(تقدير) رَمَضَان,2028-02-21
(تقدير) رَمَضَان,2028-02-20
(تقدير) رَمَضَان,2028-02-19
(تقدير) رَمَضَان,2028-02-18
(تقدير) رَمَضَان,2028-02-17
(تقدير) رَمَضَان,2028-02-16
(تقدير) رَمَضَان,2028-02-15
(تقدير) رَمَضَان,2028-02-14
(تقدير) رَمَضَان,2028-02-13
(تقدير) رَمَضَان,2028-02-12
(تقدير) رَمَضَان,2028-02-11
(تقدير) رَمَضَان,2028-02-10
(تقدير) رَمَضَان,2028-02-09
(تقدير) رَمَضَان,2028-02-08
(تقدير) رَمَضَان,2028-02-07
(تقدير) رَمَضَان,2028-02-06
(تقدير) رَمَضَان,2028-02-05
(تقدير) رَمَضَان,2028-02-04
(تقدير) رَمَضَان,2028-02-03
(تقدير) رَمَضَان,2028-02-02
(تقدير) رَمَضَان,2028-02-01
(تقدير) رَمَضَان,2028-01-31
(تقدير) رَمَضَان,2028-01-30
(تقدير) رَمَضَان,2028-01-29
(تقدير) رَمَضَان,2028-01-28
(تقدير) رَمَضَان,2028-01-27
(تقدير) عطلة عيد الفطر,2028-02-27
(تقدير) عطلة عيد الفطر,2028-02-28
(تقدير) يوم عرفة,2028-05-04
(تقدير) عيد الأضحى,2028-05-05
(تقدير) عطلة عيد الأضحى,2028-05-06
(تقدير) عطلة عيد الأضحى,2028-05-07
(تقدير) رأس السنة الهجرية,2028-05-25
(تقدير) عيد المولد النبوي,2028-08-03
رأس السنة الميلادية,2029-01-01
عيد الثورة والشباب,2029-01-14
عيد الإستقلال,2029-03-20
عيد الشهداء,2029-04-09
عيد العمال,2029-05-01
عيد الجمهورية,2029-07-25
عيد المرأة,2029-08-13
عيد الجلاء,2029-10-15
(تقدير) عيد الفطر,2029-02-14
(تقدير) رَمَضَان,2029-02-13
(تقدير) رَمَضَان,2029-02-12
(تقدير) رَمَضَان,2029-02-11
(تقدير) رَمَضَان,2029-02-10
(تقدير) رَمَضَان,2029-02-09
(تقدير) رَمَضَان,2029-02-08
(تقدير) رَمَضَان,2029-02-07
(تقدير) رَمَضَان,2029-02-06
(تقدير) رَمَضَان,2029-02-05
(تقدير) رَمَضَان,2029-02-04
(تقدير) رَمَضَان,2029-02-03
(تقدير) رَمَضَان,2029-02-02
(تقدير) رَمَضَان,2029-02-01
(تقدير) رَمَضَان,2029-01-31
(تقدير) رَمَضَان,2029-01-30
(تقدير) رَمَضَان,2029-01-29
(تقدير) رَمَضَان,2029-01-28
(تقدير) رَمَضَان,2029-01-27
(تقدير) رَمَضَان,2029-01-26
(تقدير) رَمَضَان,2029-01-25
(تقدير) رَمَضَان,2029-01-24
(تقدير) رَمَضَان,2029-01-23
(تقدير) رَمَضَان,2029-01-22
(تقدير) رَمَضَان,2029-01-21
(تقدير) رَمَضَان,2029-01-20
(تقدير) رَمَضَان,2029-01-19
(تقدير) رَمَضَان,2029-01-18
(تقدير) رَمَضَان,2029-01-17
(تقدير) رَمَضَان,2029-01-16
(تقدير) رَمَضَان,2029-01-15
(تقدير) عطلة عيد الفطر,2029-02-15
(تقدير) عطلة عيد الفطر,2029-02-16
(تقدير) يوم عرفة,2029-04-23
(تقدير) عيد الأضحى,2029-04-24
(تقدير) عطلة عيد الأضحى,2029-04-25
(تقدير) عطلة عيد الأضحى,2029-04-26
(تقدير) رأس السنة الهجرية,2029-05-14
(تقدير) عيد المولد النبوي,2029-07-24
